,id,name,abrev,color,alt_color,mascot,logos
804,2683,Warner,UWS,#FFFFFF,,Royals,http://a.espncdn.com/i/teamlogos/ncaa/500/2683.png
1758,1000425,Warrenton Preparatory,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
805,2685,Wartburg,WAR,#000000,,Knights,http://a.espncdn.com/i/teamlogos/ncaa/500/2685.png
806,2687,Washburn,WAS,#000000,,Ichabods,http://a.espncdn.com/i/teamlogos/ncaa/500/2687.png
807,264,Washington,WASH,#2B2F64,#e8e3d3,Huskies,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
808,2686,Washington & Jefferson,WAS,#000000,,Presidents,http://a.espncdn.com/i/teamlogos/ncaa/500/2686.png
809,2688,Washington & Lee,UWL,#000000,,Generals,http://a.espncdn.com/i/teamlogos/ncaa/500/2688.png
1759,1000563,Washington Artillery,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
810,143,Washington MO,WAS,#000000,,Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/143.png
1760,1000443,Washington Maryland,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1761,1000812,Washington Redskins NFL,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
811,265,Washington State,WSU,#94022a,#6a747c,Cougars,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
